Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NeuN_minus.B57_T2_HS	(1.0, 72.19912522400152)	(2.0, 6.961927852993859)	(3.0, 2.7123167915376354)	(4.0, 1.5128964911069374)	(5.0, 0.9739640267560126)	(6.0, 0.7334514824737274)	(7.0, 0.5257192271562143)	(8.0, 0.4157180213890018)	(9.0, 0.35987452170740253)	('>10', 3.0443436211139865)	('>50', 0.7968599237402187)	('>100', 3.16665310171226)	('>500', 2.381206935837261)	('>1k', 4.089769151773721)	('>5k', 0.1261736267001428)	('>10k+', 0.0)
NeuN_minus.B58_T1_HS	(1.0, 44.43179627017949)	(2.0, 12.578902450291048)	(3.0, 5.5359633277563125)	(4.0, 3.1875053581595933)	(5.0, 2.0636069040951046)	(6.0, 1.5446866215165513)	(7.0, 1.1532643473380602)	(8.0, 0.9167792532292437)	(9.0, 0.7627168558352718)	('>10', 6.611178587213079)	('>50', 1.5829134090771586)	('>100', 6.6766021237532325)	('>500', 4.484047922794774)	('>1k', 7.960602965423062)	('>5k', 0.46198636559042694)	('>10k+', 0.04744723774766123)
NeuN_minus.B59_T1_HS	(1.0, 59.64683370368)	(2.0, 14.653740911081305)	(3.0, 4.906598254334245)	(4.0, 2.430578313087408)	(5.0, 1.5978167542594877)	(6.0, 1.1085066633099594)	(7.0, 0.8300787226855076)	(8.0, 0.6015145222889641)	(9.0, 0.5245471712614769)	('>10', 3.930362313386662)	('>50', 0.8849090058727811)	('>100', 3.443475648985651)	('>500', 2.222019257129434)	('>1k', 2.9013939521583554)	('>5k', 0.1135641929513812)	('>10k+', 0.20406061352713753)
NeuN_minus.B60_T1_HS	(1.0, 55.35736154347099)	(2.0, 15.337494681970096)	(3.0, 6.01058564171439)	(4.0, 3.3278447747064623)	(5.0, 2.187953729553055)	(6.0, 1.4636929819309017)	(7.0, 1.1049454226982323)	(8.0, 0.8460508574696485)	(9.0, 0.6215273750206549)	('>10', 4.121161013058619)	('>50', 0.7526021697490545)	('>100', 3.2912949877125666)	('>500', 2.2519668900568406)	('>1k', 3.2225829964980393)	('>5k', 0.10293493439045479)	('>10k+', 0.0)
NeuN_minus.B61_T1_HS	(1.0, 52.224619439029865)	(2.0, 16.422087518229223)	(3.0, 6.459657723965925)	(4.0, 3.548379405225783)	(5.0, 2.2154568099502145)	(6.0, 1.5553103588197295)	(7.0, 1.1420722974671913)	(8.0, 0.9069212277232959)	(9.0, 0.7277021423996893)	('>10', 4.463687731238071)	('>50', 0.9102690857089085)	('>100', 4.810361927228371)	('>500', 2.621794663615755)	('>1k', 1.9916796693981043)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_minus.B62_T1_HS	(1.0, 51.348163151558644)	(2.0, 16.723808979119966)	(3.0, 6.028840989442355)	(4.0, 2.93122782692301)	(5.0, 1.8252834728193355)	(6.0, 1.253470133009469)	(7.0, 0.8719273465358746)	(8.0, 0.6681254733525435)	(9.0, 0.5219208157344963)	('>10', 3.595079373740781)	('>50', 0.879252053030787)	('>100', 3.9576364783006523)	('>500', 3.004280805834142)	('>1k', 5.962378154327605)	('>5k', 0.38983452584883466)	('>10k+', 0.038770420421285756)
NeuN_minus.B63_T1_HS	(1.0, 69.661386772743)	(2.0, 12.837022830335709)	(3.0, 3.27717308862819)	(4.0, 1.4671380889244452)	(5.0, 0.8204348980779304)	(6.0, 0.49827213612261345)	(7.0, 0.4033590031597222)	(8.0, 0.30530248263948023)	(9.0, 0.22264617626250757)	('>10', 2.244638835826328)	('>50', 0.9662572514151886)	('>100', 3.720091858796192)	('>500', 1.9576610718309795)	('>1k', 1.6186155052375613)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_minus.B64_T2_HS	(1.0, 57.5407377865716)	(2.0, 13.871712737968084)	(3.0, 4.885578195677345)	(4.0, 2.4939756996245754)	(5.0, 1.5009587386415624)	(6.0, 1.0154335485134665)	(7.0, 0.6807952558305231)	(8.0, 0.497523137363099)	(9.0, 0.42381010367154903)	('>10', 3.0601395111099343)	('>50', 0.9629564755021549)	('>100', 4.534311292611391)	('>500', 3.078472796913505)	('>1k', 5.195060995340301)	('>5k', 0.2585337246611693)	('>10k+', 0.0)
NeuN_minus.B65_T1_HS	(1.0, 62.27916968288542)	(2.0, 12.267459723211973)	(3.0, 3.999727143616077)	(4.0, 2.0020676195777654)	(5.0, 1.1974803273695447)	(6.0, 0.8519767168757643)	(7.0, 0.5623198304520426)	(8.0, 0.45431793703199125)	(9.0, 0.34418638146724506)	('>10', 2.719355083055631)	('>50', 1.091068048593212)	('>100', 4.607690790259766)	('>500', 3.0065988296854624)	('>1k', 4.454077140688731)	('>5k', 0.1625047452296093)	('>10k+', 0.0)
NeuN_minus.B66_T2_HS	(1.0, 59.42722248337977)	(2.0, 15.005412283576474)	(3.0, 5.375196283416236)	(4.0, 2.61369865274089)	(5.0, 1.6547927015379869)	(6.0, 1.1824749790124216)	(7.0, 0.8893243273728565)	(8.0, 0.6373083407568465)	(9.0, 0.44689301940028314)	('>10', 3.213982069471792)	('>50', 0.9044271537670795)	('>100', 3.6651886193998764)	('>500', 2.182447361450617)	('>1k', 2.6999653146267364)	('>5k', 0.06499065058640208)	('>10k+', 0.03667575950373608)
NeuN_minus.B67_T1_HS	(1.0, 29.549698885886517)	(2.0, 11.734166372857906)	(3.0, 5.92509013422176)	(4.0, 3.6435619038444895)	(5.0, 2.684716686807963)	(6.0, 2.247975685105155)	(7.0, 1.8066325575558766)	(8.0, 1.5759376082281131)	(9.0, 1.4377841420824142)	('>10', 25.4630239424407)	('>50', 8.18222642498766)	('>100', 5.238415428231615)	('>500', 0.38791079767569886)	('>1k', 0.12285943007432976)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_minus.B68_T2_HS	(1.0, 81.76175141554329)	(2.0, 7.94940723376195)	(3.0, 2.4567972232662596)	(4.0, 1.2250889795852675)	(5.0, 0.7550023361172307)	(6.0, 0.5303182380005721)	(7.0, 0.33502422166390583)	(8.0, 0.2573674460639833)	(9.0, 0.24468037504610463)	('>10', 1.7732439102839879)	('>50', 0.7375196061141083)	('>100', 1.577609151658662)	('>500', 0.2221777946422339)	('>1k', 0.14321183177412425)	('>5k', 0.030800236478456717)	('>10k+', 0.0)
NeuN_minus.B69_T1_HS	(1.0, 67.52120027348602)	(2.0, 8.391130009011604)	(3.0, 3.08161065978053)	(4.0, 1.7238689071353865)	(5.0, 1.2239294326533723)	(6.0, 0.9148324314249048)	(7.0, 0.6841947510266487)	(8.0, 0.523765152468394)	(9.0, 0.457319684245429)	('>10', 3.339859843560273)	('>50', 0.650801959393524)	('>100', 2.995495863015414)	('>500', 2.4983168447266406)	('>1k', 5.502857594651616)	('>5k', 0.39813606819440117)	('>10k+', 0.09268052522596361)
NeuN_minus.B70_T1_HS	(1.0, 65.46691446267656)	(2.0, 11.38966336634632)	(3.0, 4.990904252346063)	(4.0, 2.8939505258333704)	(5.0, 2.03551059170682)	(6.0, 1.4714393913667392)	(7.0, 1.1097847779440926)	(8.0, 0.8662533529948311)	(9.0, 0.7191826336554746)	('>10', 6.013885690968728)	('>50', 0.774832351677235)	('>100', 1.6223810020170137)	('>500', 0.4642926232447617)	('>1k', 0.1810049772221106)	('>5k', 0.0)	('>10k+', 0.0)
NeuN_minus.B71_T1_HS	(1.0, 56.44719215597307)	(2.0, 12.871147301834062)	(3.0, 4.953773089499532)	(4.0, 2.696103933745817)	(5.0, 1.672511317801255)	(6.0, 1.1751615048923338)	(7.0, 0.8555996691285758)	(8.0, 0.6698802383038678)	(9.0, 0.5454073639354842)	('>10', 4.164546198919539)	('>50', 1.291833581744147)	('>100', 5.650851176769079)	('>500', 3.19645366820607)	('>1k', 3.723558287108159)	('>5k', 0.03408362879251225)	('>10k+', 0.051896883346623575)
NeuN_minus.B72_T1_HS	(1.0, 51.71421654880459)	(2.0, 17.991917454216804)	(3.0, 7.09695170232891)	(4.0, 3.7360518924481676)	(5.0, 2.4590245112241633)	(6.0, 1.7238169325750068)	(7.0, 1.2773658002165966)	(8.0, 1.0385200236496936)	(9.0, 0.8367843106026421)	('>10', 6.632891811491614)	('>50', 0.9127479635268995)	('>100', 2.7616154429369177)	('>500', 1.109973416710263)	('>1k', 0.6414332927365247)	('>5k', 0.06668889653114038)	('>10k+', 0.0)
NeuN_minus.B73_T1_HS	(1.0, 59.28982320228323)	(2.0, 10.942319477053216)	(3.0, 3.0406326969145105)	(4.0, 1.3460385636853212)	(5.0, 0.7529243699660462)	(6.0, 0.5328320716498575)	(7.0, 0.38774193910272614)	(8.0, 0.2853891479054589)	(9.0, 0.20656436217051008)	('>10', 1.8787029140967373)	('>50', 0.7972253652799207)	('>100', 4.1060313856250135)	('>500', 3.7643396599794126)	('>1k', 10.547934044056335)	('>5k', 1.8150146747748102)	('>10k+', 0.3064861254571958)
NeuN_minus.B74_T1_HS	(1.0, 43.9590606338064)	(2.0, 15.591032976523017)	(3.0, 7.028164295892521)	(4.0, 4.0349067446242035)	(5.0, 2.7683444645813524)	(6.0, 1.9400257580490683)	(7.0, 1.5463744938070196)	(8.0, 1.204218787481878)	(9.0, 1.0020264433604769)	('>10', 8.009494857815891)	('>50', 1.0905130619381391)	('>100', 4.270542358302425)	('>500', 2.8488608257859678)	('>1k', 4.548402175228867)	('>5k', 0.15803212280270953)	('>10k+', 0.0)
NeuN_plus.B21_T2_HS	(1.0, 44.42058620404622)	(2.0, 16.551770018805268)	(3.0, 8.083688789497943)	(4.0, 4.758074644372712)	(5.0, 3.1770205870990726)	(6.0, 2.301113748943507)	(7.0, 1.7033303784083373)	(8.0, 1.1991125979650832)	(9.0, 0.9579518640941042)	('>10', 4.6577298187418)	('>50', 0.633479434077039)	('>100', 2.9353341192091147)	('>500', 2.481630232961864)	('>1k', 5.537578165078693)	('>5k', 0.6015993966989788)	('>10k+', 0.0)
NeuN_plus.B22_T2_HS	(1.0, 63.301074248634826)	(2.0, 11.07758728321982)	(3.0, 2.282298310776004)	(4.0, 0.6920835105559572)	(5.0, 0.36356676226466406)	(6.0, 0.23969182394769734)	(7.0, 0.16054831179902768)	(8.0, 0.11832841208795723)	(9.0, 0.09723590263735397)	('>10', 1.373188023565936)	('>50', 0.7009472934823006)	('>100', 3.837568095160494)	('>500', 3.657593054021982)	('>1k', 10.379783745019559)	('>5k', 1.5802092619457804)	('>10k+', 0.13829596088070759)
NeuN_plus.B25_T3_HS	(1.0, 34.62321780143063)	(2.0, 15.70887192208633)	(3.0, 9.077003418802276)	(4.0, 6.010061111962988)	(5.0, 4.146339800483699)	(6.0, 3.247697901932556)	(7.0, 2.4862227558522987)	(8.0, 2.0288021466765183)	(9.0, 1.7638726636168205)	('>10', 13.064344274835307)	('>50', 1.1822862793503928)	('>100', 2.0700725861596663)	('>500', 1.5740793973855371)	('>1k', 2.9142961960679505)	('>5k', 0.10283174335751666)	('>10k+', 0.0)
